5ZBeML7Lf3FMEVviTyvi8l;Twist And Shout - Remastered 2009;75;155227;0;The Beatles;3WrFJ7ztbogyGnTHbHJFl2;1963-03-22;0.482;0.849;2;-9.198;1;0.0452;0.641;7.74e-06;0.0414;0.937;124.631;4
3KiexfmhxHvG5IgAElmTkd;I Saw Her Standing There - Remastered 2009;70;173947;0;The Beatles;3WrFJ7ztbogyGnTHbHJFl2;1963-03-22;0.491;0.801;4;-9.835;1;0.0361;0.27;0.0;0.0665;0.971;160.109;4
3VbGCXWRiouAq8VyMYN2MI;Love Me Do - Remastered 2009;69;141693;0;The Beatles;3WrFJ7ztbogyGnTHbHJFl2;1963-03-22;0.52;0.829;0;-6.228;1;0.0806;0.386;6.2e-05;0.227;0.744;147.997;4
4joiWvli4qJVEW6qZV2i2J;All My Loving - Remastered 2009;69;127853;0;The Beatles;3WrFJ7ztbogyGnTHbHJFl2;1963-11-22;0.416;0.563;1;-8.724;0;0.0298;0.207;0.0;0.343;0.9;77.56;4
0ESIjVxnDnCDaTPo6sStHm;Till There Was You - Remastered 2009;63;133507;0;The Beatles;3WrFJ7ztbogyGnTHbHJFl2;1963-11-22;0.727;0.338;5;-13.887;1;0.0454;0.79;0.0;0.105;0.646;122.421;4
7Aobt67JnaF7qN8jCCKvHq;Do You Want To Know A Secret - Remastered 2009;62;117013;0;The Beatles;3WrFJ7ztbogyGnTHbHJFl2;1963-03-22;0.673;0.349;4;-12.414;1;0.0368;0.608;0.0;0.38;0.609;124.451;4
6EHuOufBeL6vk3TvVJB5qo;Please Please Me - Remastered 2009;62;120853;0;The Beatles;3WrFJ7ztbogyGnTHbHJFl2;1963-03-22;0.527;0.48;4;-9.61;1;0.028;0.334;0.0;0.0702;0.706;139.388;4
2baEFuU0gQon0hgVRioI1o;Anna (Go To Him) - Remastered 2009;60;177133;0;The Beatles;3WrFJ7ztbogyGnTHbHJFl2;1963-03-22;0.608;0.565;2;-11.06;1;0.0336;0.635;0.0;0.0601;0.835;109.286;4
2VmB1rF9FtfKUmFHDVnq8Q;Baby It's You - Remastered 2009;59;160520;0;The Beatles;3WrFJ7ztbogyGnTHbHJFl2;1963-03-22;0.608;0.494;4;-12.211;0;0.0345;0.778;0.0;0.0926;0.879;112.421;4
3idqWaBn3mRdsIodCU6uBi;Roll Over Beethoven - Remastered 2009;59;165467;0;The Beatles;3WrFJ7ztbogyGnTHbHJFl2;1963-11-22;0.351;0.749;2;-9.435;1;0.0628;0.289;0.0;0.0952;0.967;160.673;4
7rgUYidQh5tH0YlXCoKaYJ;You Really Got A Hold On Me - Remastered 2009;59;181347;0;The Beatles;3WrFJ7ztbogyGnTHbHJFl2;1963-11-22;0.373;0.388;9;-9.31;1;0.0337;0.525;0.0;0.267;0.687;77.643;4
5tztLBvTlNC15Np2tnQ5Ll;All I've Got To Do - Remastered 2009;58;122573;0;The Beatles;3WrFJ7ztbogyGnTHbHJFl2;1963-11-22;0.49;0.579;1;-10.301;0;0.0344;0.217;0.0;0.0644;0.879;119.403;4
